Date,Open,High,Low,Close,Adj Close,Volume
2006-01-03,673.219971,685.229980,666.580017,684.049988,684.049988,2554570000
2006-01-04,684.049988,690.159973,683.419983,689.250000,689.250000,2515330000
2006-01-05,689.250000,692.409973,687.659973,691.770020,691.770020,2433340000
2006-01-06,691.770020,700.440002,691.770020,699.390015,699.390015,2446560000
2006-01-09,699.390015,708.039978,699.390015,706.239990,706.239990,2301490000
2006-01-10,706.239990,711.000000,702.210022,710.989990,710.989990,2373080000
2006-01-11,710.989990,711.190002,705.570007,711.190002,711.190002,2406130000
2006-01-12,711.190002,711.679993,706.039978,706.789978,706.789978,2318350000
2006-01-13,706.789978,708.989990,705.599976,708.440002,708.440002,2206510000
2006-01-17,708.440002,708.440002,700.659973,703.619995,703.619995,2179970000
2006-01-18,703.619995,704.520020,698.580017,703.780029,703.780029,2233200000
2006-01-19,703.780029,715.789978,703.780029,714.940002,714.940002,2444020000
2006-01-20,714.940002,716.530029,703.570007,704.599976,704.599976,2845810000
2006-01-23,704.599976,709.679993,704.530029,707.820007,707.820007,2256070000
2006-01-24,707.820007,718.510010,707.820007,718.020020,718.020020,2608720000
2006-01-25,718.020020,720.299988,713.130005,716.450012,716.450012,2617060000
2006-01-26,716.450012,728.570007,716.450012,728.479980,728.479980,2856780000
2006-01-27,728.479980,736.250000,728.150024,732.219971,732.219971,2623620000
2006-01-30,732.219971,734.010010,729.969971,730.869995,730.869995,2282730000
2006-01-31,730.869995,734.010010,726.710022,733.200012,733.200012,2708310000
2006-02-01,733.200012,736.450012,729.890015,735.479980,735.479980,2589410000
2006-02-02,735.479980,735.530029,721.950012,726.250000,726.250000,2565300000
2006-02-03,726.250000,729.200012,720.309998,724.219971,724.219971,2282210000
2006-02-06,724.219971,727.890015,720.429993,727.890015,727.890015,2132360000
2006-02-07,727.890015,729.770020,716.820007,717.179993,717.179993,2366370000
2006-02-08,717.179993,722.299988,713.880005,721.159973,721.159973,2456860000
2006-02-09,721.159973,727.489990,717.609985,718.159973,718.159973,2441920000
2006-02-10,718.159973,718.419983,708.830017,717.130005,717.130005,2290050000
2006-02-13,717.130005,717.130005,708.510010,710.530029,710.530029,1850080000
2006-02-14,710.530029,721.619995,708.119995,719.700012,719.700012,2437940000
2006-02-15,719.700012,725.099976,716.659973,725.099976,725.099976,2317590000
2006-02-16,725.099976,731.919983,725.099976,731.919983,731.919983,2251490000
2006-02-17,731.919983,733.260010,727.969971,730.940002,730.940002,2128260000
2006-02-21,730.940002,733.330017,723.710022,726.780029,726.780029,2104320000
2006-02-22,726.780029,734.000000,725.119995,733.530029,733.530029,2222380000
2006-02-23,733.530029,736.619995,728.729980,732.450012,732.450012,2144210000
2006-02-24,732.450012,737.210022,729.460022,736.599976,736.599976,1933010000
2006-02-27,736.599976,742.770020,736.599976,740.630005,740.630005,1975320000
2006-02-28,740.630005,740.630005,729.150024,730.640015,730.640015,2370860000
2006-03-01,730.640015,742.349976,730.640015,742.349976,742.349976,2308320000
2006-03-02,742.349976,743.039978,735.950012,740.159973,740.159973,2494590000
2006-03-03,740.159973,745.179993,736.520020,738.440002,738.440002,2152950000
2006-03-06,738.440002,738.940002,728.890015,731.159973,731.159973,2280190000
2006-03-07,731.159973,731.159973,719.169983,721.059998,721.059998,2268050000
2006-03-08,721.059998,723.799988,713.619995,721.840027,721.840027,2442870000
2006-03-09,721.840027,726.419983,717.630005,718.280029,718.280029,2140110000
2006-03-10,718.280029,726.340027,714.859985,726.340027,726.340027,2123450000
2006-03-13,726.340027,734.250000,726.340027,728.039978,728.039978,2070330000
2006-03-14,728.039978,736.119995,724.969971,736.099976,736.099976,2165270000
2006-03-15,736.099976,742.940002,734.950012,742.940002,742.940002,2293000000
2006-03-16,742.940002,748.349976,742.940002,743.789978,743.789978,2292180000
2006-03-17,743.789978,746.750000,741.739990,746.090027,746.090027,2549620000
2006-03-20,746.090027,747.159973,741.739990,745.619995,745.619995,1976830000
2006-03-21,745.619995,749.599976,735.469971,736.099976,736.099976,2147370000
2006-03-22,736.099976,745.679993,733.690002,744.849976,744.849976,2039810000
2006-03-23,744.849976,747.630005,742.010010,747.599976,747.599976,1980940000
2006-03-24,747.599976,753.869995,747.299988,753.830017,753.830017,2326070000
2006-03-27,753.830017,754.320007,750.330017,754.030029,754.030029,2029700000
2006-03-28,754.030029,757.909973,749.309998,751.270020,751.270020,2148580000
2006-03-29,751.270020,764.169983,751.270020,764.169983,764.169983,2143540000
2006-03-30,764.169983,767.159973,759.260010,762.590027,762.590027,2294560000
2006-03-31,762.590027,765.140015,759.039978,765.140015,765.140015,2236710000
2006-04-03,765.239990,768.979980,758.659973,759.219971,759.219971,2494080000
2006-04-04,759.219971,764.539978,756.760010,762.320007,762.320007,2147660000
2006-04-05,762.320007,766.789978,758.510010,766.260010,766.260010,2420020000
2006-04-06,766.260010,767.080017,761.150024,766.229980,766.229980,2281680000
2006-04-07,766.229980,771.539978,754.580017,756.130005,756.130005,2082470000
2006-04-10,756.130005,759.200012,750.890015,752.950012,752.950012,1898320000
2006-04-11,752.950012,755.390015,740.239990,742.109985,742.109985,2232880000
2006-04-12,742.109985,748.330017,741.549988,747.770020,747.770020,1938100000
2006-04-13,747.770020,753.630005,743.460022,751.109985,751.109985,1891940000
2006-04-17,751.109985,754.080017,744.729980,749.469971,749.469971,1794650000
2006-04-18,749.450012,770.049988,749.450012,769.809998,769.809998,2595440000
2006-04-19,769.809998,778.419983,768.489990,778.419983,778.419983,2447310000
2006-04-20,778.419983,778.419983,768.099976,774.669983,774.669983,2512920000
2006-04-21,774.669983,778.570007,768.299988,772.119995,772.119995,2392630000
2006-04-24,772.119995,772.119995,763.049988,766.140015,766.140015,2117330000
2006-04-25,766.140015,767.450012,760.320007,764.820007,764.820007,2366380000
2006-04-26,764.820007,771.859985,763.559998,765.229980,765.229980,2502690000
2006-04-27,765.229980,771.049988,755.260010,761.400024,761.400024,2772010000
2006-04-28,761.400024,767.760010,758.130005,764.539978,764.539978,2419920000
2006-05-01,764.539978,770.820007,760.320007,761.119995,761.119995,2437040000
2006-05-02,761.119995,767.609985,759.909973,767.609985,767.609985,2403470000
2006-05-03,767.609985,769.390015,762.229980,767.729980,767.729980,2395230000
2006-05-04,767.729980,774.789978,767.729980,774.719971,774.719971,2431450000
2006-05-05,774.719971,784.619995,774.719971,781.830017,781.830017,2294760000
2006-05-08,781.830017,782.789978,778.640015,781.599976,781.599976,2151300000
2006-05-09,781.599976,782.479980,779.460022,780.719971,780.719971,2157290000
2006-05-10,780.690002,780.690002,772.750000,775.940002,775.940002,2268550000
2006-05-11,775.880005,775.880005,757.460022,757.469971,757.469971,2531520000
2006-05-12,757.450012,757.450012,742.049988,742.400024,742.400024,2567970000
2006-05-15,742.380005,742.380005,729.950012,737.640015,737.640015,2505660000
