"Data","Ostatnio","Otwarcie","Max.","Min.","Wol.","Zmiana%"
"29.12.2013","17,29","17,60","17,60","17,23","516,26K","-1,76%"
"22.12.2013","17,60","16,98","17,75","16,98","437,54K","4,14%"
"15.12.2013","16,90","15,59","16,95","15,22","1,88M","8,33%"
"08.12.2013","15,60","16,35","16,60","15,40","522,04K","-4,00%"
"01.12.2013","16,25","16,88","16,88","15,22","741,14K","-2,99%"
"24.11.2013","16,75","16,63","17,15","15,70","2,20M","1,52%"
"17.11.2013","16,50","15,70","16,70","15,00","939,63K","5,77%"
"10.11.2013","15,60","15,95","15,98","15,11","391,98K","0,65%"
"03.11.2013","15,50","15,80","16,00","15,20","807,44K","0,00%"
"27.10.2013","15,50","14,99","15,74","14,71","851,37K","4,03%"
"20.10.2013","14,90","14,26","15,07","14,26","1,11M","4,93%"
"13.10.2013","14,20","14,40","14,60","13,45","1,00M","-1,87%"
"06.10.2013","14,47","14,90","14,94","13,40","2,27M","-2,89%"
"29.09.2013","14,90","14,80","15,17","14,23","844,00K","0,68%"
"22.09.2013","14,80","13,75","14,80","13,51","981,45K","7,56%"
"15.09.2013","13,76","13,80","13,99","13,18","1,04M","0,07%"
"08.09.2013","13,75","12,50","13,75","12,12","1,88M","10,62%"
"01.09.2013","12,43","12,30","12,69","10,92","3,43M","0,49%"
"25.08.2013","12,37","12,09","12,66","10,90","1,93M","2,32%"
"18.08.2013","12,09","11,35","12,12","10,75","1,35M","7,09%"
"11.08.2013","11,29","10,68","11,40","10,52","1,09M","5,81%"
"04.08.2013","10,67","10,20","10,70","10,10","1,05M","2,79%"
"28.07.2013","10,38","9,86","11,00","9,85","1,83M","5,60%"
"21.07.2013","9,83","9,71","9,87","9,34","589,79K","2,40%"
"14.07.2013","9,60","9,38","9,75","9,10","886,45K","3,00%"
"07.07.2013","9,32","9,05","9,48","8,90","432,16K","2,42%"
"30.06.2013","9,10","9,24","9,28","8,70","428,26K","-1,62%"
"23.06.2013","9,25","8,55","9,35","8,55","612,98K","8,70%"
"16.06.2013","8,51","9,50","9,55","8,20","1,17M","-10,42%"
"09.06.2013","9,50","8,74","9,64","8,70","1,18M","8,57%"
"02.06.2013","8,75","8,78","8,85","8,49","430,85K","-0,46%"
"26.05.2013","8,79","8,50","8,80","8,23","925,53K","4,64%"
"19.05.2013","8,40","7,74","8,50","7,68","1,26M","9,37%"
"12.05.2013","7,68","7,72","7,75","7,20","531,04K","-1,66%"
"05.05.2013","7,81","7,36","7,92","7,20","925,99K","5,40%"
"28.04.2013","7,41","7,18","7,54","7,18","413,32K","3,20%"
"21.04.2013","7,18","6,66","7,22","6,51","459,05K","7,81%"
"14.04.2013","6,66","6,97","6,97","6,34","381,77K","-3,76%"
"07.04.2013","6,92","6,97","7,06","6,65","453,37K","1,62%"
"31.03.2013","6,81","6,80","6,93","6,31","571,00K","-0,87%"
"24.03.2013","6,87","7,00","7,18","6,57","528,68K","-1,58%"
"17.03.2013","6,98","7,46","7,64","6,65","1,88M","-8,64%"
"10.03.2013","7,64","7,75","7,89","7,32","729,94K","-0,78%"
"03.03.2013","7,70","7,25","7,84","7,21","1,12M","6,21%"
"24.02.2013","7,25","7,35","7,42","7,05","454,33K","-1,23%"
"17.02.2013","7,34","7,35","7,48","7,02","891,14K","0,27%"
"10.02.2013","7,32","6,90","7,52","6,90","1,66M","5,32%"
"03.02.2013","6,95","6,80","7,20","6,78","2,48M","2,96%"
"27.01.2013","6,75","6,62","6,79","6,33","580,06K","1,96%"
"20.01.2013","6,62","6,70","6,75","6,57","513,73K","-1,19%"
"13.01.2013","6,70","6,56","6,71","6,10","1,52M","3,08%"
"06.01.2013","6,50","6,64","6,87","6,50","1,07M","-2,11%"
"30.12.2012","6,64","6,21","6,80","6,21","831,90K","7,10%"
"23.12.2012","6,20","6,08","6,27","6,08","370,12K","0,98%"
"16.12.2012","6,14","6,25","6,40","6,11","863,05K","-2,07%"
"09.12.2012","6,27","6,20","6,50","6,15","1,36M","1,13%"
"02.12.2012","6,20","6,10","6,25","5,84","810,56K","1,97%"
"25.11.2012","6,08","6,05","6,38","6,00","1,18M","0,66%"
"18.11.2012","6,04","5,75","6,19","5,75","1,06M","5,96%"
"11.11.2012","5,70","5,18","5,75","5,15","1,55M","10,04%"
"04.11.2012","5,18","5,40","5,40","5,17","305,10K","-3,90%"
"28.10.2012","5,39","5,09","5,39","5,08","280,43K","5,69%"
"21.10.2012","5,10","5,11","5,52","5,08","952,45K","-7,61%"
"14.10.2012","5,52","5,49","5,65","5,44","1,09M","0,73%"
"07.10.2012","5,48","5,40","5,52","5,22","1,55M","1,48%"
"30.09.2012","5,40","5,17","5,45","5,07","819,61K","3,65%"
"23.09.2012","5,21","5,07","5,42","5,00","1,05M","2,76%"
"16.09.2012","5,07","4,90","5,09","4,79","884,17K","4,11%"
"09.09.2012","4,87","4,45","4,90","4,38","1,42M","9,44%"
"02.09.2012","4,45","4,45","4,54","4,23","633,46K","0,00%"
"26.08.2012","4,45","4,52","4,58","4,20","907,87K","-1,33%"
"19.08.2012","4,51","4,51","4,60","4,50","247,01K","-1,10%"
"12.08.2012","4,56","4,55","4,64","4,52","189,96K","-0,65%"
"05.08.2012","4,59","4,57","4,72","4,46","302,22K","1,10%"
"29.07.2012","4,54","4,53","4,59","4,41","400,67K","-0,66%"
"22.07.2012","4,57","4,65","4,73","4,52","586,82K","-3,99%"
"15.07.2012","4,76","4,71","4,80","4,56","555,77K","1,28%"
"08.07.2012","4,70","4,63","4,87","4,41","1,17M","0,86%"
"01.07.2012","4,66","5,10","5,10","4,65","1,21M","-9,16%"
"24.06.2012","5,13","4,97","5,13","4,72","954,34K","2,40%"
"17.06.2012","5,01","4,70","5,15","4,61","1,87M","7,74%"
"10.06.2012","4,65","4,80","4,85","4,46","3,32M","-1,06%"
"03.06.2012","4,70","4,57","4,75","4,43","824,90K","1,29%"
"27.05.2012","4,64","4,60","4,68","4,45","899,70K","3,11%"
"20.05.2012","4,50","4,82","4,91","4,23","1,92M","-6,25%"
"13.05.2012","4,80","5,11","5,11","4,38","2,83M","-6,43%"
"06.05.2012","5,13","4,85","5,32","4,77","2,22M","1,38%"
"29.04.2012","5,06","5,48","5,67","5,06","1,31M","-5,95%"
"22.04.2012","5,38","5,80","5,80","4,92","5,93M","-8,97%"
"15.04.2012","5,91","6,26","6,57","5,75","3,76M","-6,93%"
"08.04.2012","6,35","6,55","6,64","6,00","1,99M","-2,76%"
"01.04.2012","6,53","6,98","7,00","6,11","3,16M","-5,64%"
"25.03.2012","6,92","6,44","6,96","6,34","3,60M","8,98%"
"18.03.2012","6,35","6,69","6,69","5,97","3,26M","-3,50%"
"11.03.2012","6,58","6,12","6,73","5,86","4,10M","8,05%"
"04.03.2012","6,09","5,69","6,16","5,35","2,58M","6,65%"
"26.02.2012","5,71","5,93","5,95","5,57","945,52K","-3,38%"
"19.02.2012","5,91","6,04","6,05","5,82","1,22M","-0,51%"
"12.02.2012","5,94","5,94","6,08","5,52","4,20M","0,51%"
"05.02.2012","5,91","6,21","6,45","5,61","4,74M","-4,83%"
"29.01.2012","6,21","6,07","6,38","5,85","4,22M","1,97%"
"22.01.2012","6,09","5,23","6,49","5,21","9,45M","16,22%"
"15.01.2012","5,24","5,03","5,29","5,03","1,65M","2,14%"
"08.01.2012","5,13","5,11","5,33","5,03","1,51M","0,00%"
"01.01.2012","5,13","5,24","5,38","5,04","1,14M","-2,66%"
